3142	17646
Aalborg|Denmark	Aarhus|Denmark	100.00468203083864
Aalborg|Denmark	Alicante|Spain	2228.556239377875
Aalborg|Denmark	Amsterdam|Netherlands	624.6117333618714
Aalborg|Denmark	Barcelona|Spain	1844.1133522818361
Aalborg|Denmark	Billund|Denmark	156.55536517378863
Aalborg|Denmark	Copenhagen|Denmark	238.541867882178
Aalborg|Denmark	Istanbul|Turkey	2249.6442221067136
Aalborg|Denmark	London|United Kingdom	929.3016803885331
Aalborg|Denmark	Malaga|Spain	2509.597222092122
Aalborg|Denmark	Oslo|Norway	344.1979360478839
Aalborg|Denmark	Palma de Mallorca|Spain	2019.6803163194134
Aalborg|Denmark	Stavanger|Norway	318.0288071766576
Aalborg|Denmark	Stockholm|Sweden	549.94751066518
Aarhus|Denmark	Copenhagen|Denmark	147.9009553085963
Aarhus|Denmark	Gothenborg|Sweden	182.09370378312408
Aarhus|Denmark	London|United Kingdom	835.9189100154385
Aarhus|Denmark	Malaga|Spain	2460.442996592157
Aarhus|Denmark	Oslo|Norway	426.09123471525766
Aarhus|Denmark	Palma de Mallorca|Spain	1951.7978767763482
Aarhus|Denmark	Stockholm|Sweden	550.8457107013826
Aasiaat|Greenland	Ilulissat|Greenland	90.13880801453332
Aasiaat|Greenland	Sisimiut|Greenland	201.03332050983536
Aasiaat|Greenland	Sondrestrom|Greenland	209.1987536686876
Abadan|Iran	Mashhad|Iran	1245.0448624867815
Abadan|Iran	Shiraz|Iran	430.6944958152397
Abadan|Iran	Teheran|Iran	658.1920316216681
Abakan|Russia	Irkutsk|Russia	885.0429362182111
Abakan|Russia	Moscow|Russia	3378.5517250484977
Abakan|Russia	Norilsk|Russia	1745.7012905418435
Abbotsford|Canada	Calgary|Canada	639.2559913203376
Abbotsford|Canada	Edmonton|Canada	775.6936912814106
Aberdeen|United Kingdom	Amsterdam|Netherlands	704.045783060654
Aberdeen|United Kingdom	Belfast|United Kingdom	367.71400321622684
Aberdeen|United Kingdom	Bergen|Norway	548.8761205684967
Aberdeen|United Kingdom	Birmingham|United Kingdom	529.3167492388711
Aberdeen|United Kingdom	Bristol|United Kingdom	648.6559663658376
Aberdeen|United Kingdom	Copenhagen|Denmark	929.6512233783532
Aberdeen|United Kingdom	Dublin|Ireland	493.4312114276052
Aberdeen|United Kingdom	East Midlands|United Kingdom	489.68994907827687
Aberdeen|United Kingdom	Esbjerg|Denmark	687.8479031978404
Aberdeen|United Kingdom	Frankfurt|Germany	1066.3390549242793
Aberdeen|United Kingdom	Humberside|United Kingdom	420.3100069528302
Aberdeen|United Kingdom	Kirkwall|United Kingdom	199.84190647057324
Aberdeen|United Kingdom	Kristiansund|Norway	858.8756301693801
Aberdeen|United Kingdom	Leeds|United Kingdom	372.889773224405
Aberdeen|United Kingdom	London|United Kingdom	604.6056604563307
Aberdeen|United Kingdom	Manchester|United Kingdom	428.39852631758487
Aberdeen|United Kingdom	Newcastle|United Kingdom	242.97144120590423
Aberdeen|United Kingdom	Norwich|United Kingdom	550.6276279842501
Aberdeen|United Kingdom	Oslo|Norway	831.1475897670925
Aberdeen|United Kingdom	Paris|France	964.6405758070193
Aberdeen|United Kingdom	Riga|Latvia	1574.4341463859632
Aberdeen|United Kingdom	Stavanger|Norway	497.55187517867296
Aberdeen|United Kingdom	Stornoway|United Kingdom	270.40639867289093
Aberdeen|United Kingdom	Sumburgh|United Kingdom	302.5628037041978
Aberdeen|United Kingdom	Teesside|United Kingdom	303.55840299521554
Aberdeen|United Kingdom	Wick|United Kingdom	149.64525916131623
Aberdeen|United States	Minneapolis|United States	412.9005149851355
Abha|Saudi Arabia	Aden|Yemen	653.8084776740042
Abha|Saudi Arabia	Cairo|Egypt	1745.4111404038626
Abha|Saudi Arabia	Dammam|Saudi Arabia	1174.0913742269117
Abha|Saudi Arabia	Dubai|United Arab Emirates	1526.9445247412825
Abha|Saudi Arabia	Jeddah|Saudi Arabia	529.7371583496006
Abha|Saudi Arabia	Madinah|Saudi Arabia	766.3474001414769
Abha|Saudi Arabia	Riyadh|Saudi Arabia	856.6463215200563
Abha|Saudi Arabia	Sanaa|Yemen	349.85236186514913
Abha|Saudi Arabia	Sharjah|United Arab Emirates	1544.4854771206951
Abha|Saudi Arabia	Tabuk|Saudi Arabia	1284.425109935342
Abha|Saudi Arabia	Taif|Saudi Arabia	423.3407316964874
Abidjan|Cote d'Ivoire	Accra|Ghana	418.36962054094954
Abidjan|Cote d'Ivoire	Algier|Algeria	3573.704065711342
Abidjan|Cote d'Ivoire	Bamako|Mali	922.40921475962
Abidjan|Cote d'Ivoire	Bobo-dioulasso|Burkina Faso	658.1378354394186
Abidjan|Cote d'Ivoire	Brussels|Belgium	5140.491097648372
Abidjan|Cote d'Ivoire	Casablanca|Morocco	3151.6233641335466
Abidjan|Cote d'Ivoire	Conakry|Guinea	1171.8617631707107
Abidjan|Cote d'Ivoire	Cotonou|Benin	709.4261918652793
Abidjan|Cote d'Ivoire	Dakar|Senegal	1821.655475562221
Abidjan|Cote d'Ivoire	Douala|Cameroon	1520.4232415899874
Abidjan|Cote d'Ivoire	Freetown|Sierra Leone	1090.0702508794457
Abidjan|Cote d'Ivoire	Istanbul|Turkey	5139.83369648761
Abidjan|Cote d'Ivoire	Lagos|Nigeria	815.7014420460209
Abidjan|Cote d'Ivoire	Libreville|Gabon	1575.970618037933
Abidjan|Cote d'Ivoire	Lome|Togo	582.5994537888589
Abidjan|Cote d'Ivoire	Monrovia|Liberia	720.9954820961281
Abidjan|Cote d'Ivoire	Nairobi|Kenya	4601.105329532721
Abidjan|Cote d'Ivoire	Ouagadougou|Burkina Faso	832.8433130195266
Abidjan|Cote d'Ivoire	Paris|France	4874.796566697985
Abidjan|Cote d'Ivoire	Tunis|Tunisia	3800.765121658339
Abilene|United States	Dallas-Fort Worth|United States	253.6106554788191
Ablow|Vanuatu	Gaua Island|Vanuatu	62.92433337389236
Ablow|Vanuatu	Loh/Linua|Vanuatu	122.19007316728924
Ablow|Vanuatu	Sola|Vanuatu	28.024051803621262
Abu Dhabi|United Arab Emirates	Aden|Yemen	1641.2308536971982
Abu Dhabi|United Arab Emirates	Ahmedabad|India	1837.1851487179467
Abu Dhabi|United Arab Emirates	Alma-ata|Kazakhstan	2933.6104700288297
Abu Dhabi|United Arab Emirates	Amman|Jordan	2000.374983954275
Abu Dhabi|United Arab Emirates	Amsterdam|Netherlands	5197.268191364462
Abu Dhabi|United Arab Emirates	Athens|Greece	3266.6740142448
Abu Dhabi|United Arab Emirates	Baghdad|Iraq	1411.736995829403
Abu Dhabi|United Arab Emirates	Bahrain|Bahrain	452.93688539688145
Abu Dhabi|United Arab Emirates	Bangalore|India	2726.095123641485
Abu Dhabi|United Arab Emirates	Bangkok|Thailand	4971.616716446784
Abu Dhabi|United Arab Emirates	Basrah|Iraq	968.9582722362442
Abu Dhabi|United Arab Emirates	Beijing|China	5961.417428243353
Abu Dhabi|United Arab Emirates	Beirut|Lebanon	2131.085812248524
Abu Dhabi|United Arab Emirates	Belgrade|Serbia	3832.905242375
Abu Dhabi|United Arab Emirates	Berlin|Germany	4668.78659047884
Abu Dhabi|United Arab Emirates	Brussels|Belgium	5172.3663655118135
Abu Dhabi|United Arab Emirates	Cairo|Egypt	2380.5847832116347
Abu Dhabi|United Arab Emirates	Calicut|India	2693.407883101192
Abu Dhabi|United Arab Emirates	Casablanca|Morocco	6059.422635268113
Abu Dhabi|United Arab Emirates	Chengdu|China	4877.172977002015
Abu Dhabi|United Arab Emirates	Chicago|United States	11700.73545179612
Abu Dhabi|United Arab Emirates	Chittagong|Bangladesh	3794.841314841909
Abu Dhabi|United Arab Emirates	Colombo|Sri Lanka	3303.735649317115
Abu Dhabi|United Arab Emirates	Dammam|Saudi Arabia	537.9295760399232
Abu Dhabi|United Arab Emirates	Delhi|India	2279.887455599614
Abu Dhabi|United Arab Emirates	Dhaka|Bangladesh	3621.6812812594458
Abu Dhabi|United Arab Emirates	Doha|Qatar	321.27110712246724
Abu Dhabi|United Arab Emirates	Dubai|United Arab Emirates	129.6354266415622
Abu Dhabi|United Arab Emirates	Dublin|Ireland	5947.307727660349
Abu Dhabi|United Arab Emirates	Duesseldorf|Germany	5031.804394461528
Abu Dhabi|United Arab Emirates	Erbil|Iraq	1665.1717659466185
Abu Dhabi|United Arab Emirates	Frankfurt|Germany	4867.307389391746
Abu Dhabi|United Arab Emirates	Fujeirah|United Arab Emirates	203.3794898405459
Abu Dhabi|United Arab Emirates	Geneva|Switzerland	4931.735331844459
Abu Dhabi|United Arab Emirates	Ho Chi Minh City|Vietnam	5686.428319885396
Abu Dhabi|United Arab Emirates	Hong Kong|Hong Kong	6013.374216619984
Abu Dhabi|United Arab Emirates	Islamabad|Pakistan	2061.4639864293176
Abu Dhabi|United Arab Emirates	Istanbul|Turkey	3021.1541358849245
Abu Dhabi|United Arab Emirates	Jaipur|India	2137.9321797818066
Abu Dhabi|United Arab Emirates	Jakarta|Indonesia	6581.9157186082675
Abu Dhabi|United Arab Emirates	Jeddah|Saudi Arabia	1615.3976783916046
Abu Dhabi|United Arab Emirates	Johannesburg|South Africa	6305.479866144793
Abu Dhabi|United Arab Emirates	Karachi|Pakistan	1266.0960689448348
Abu Dhabi|United Arab Emirates	Kathmandu|Nepal	3084.1681652120324
Abu Dhabi|United Arab Emirates	Khartoum|Sudan	2507.738831911413
Abu Dhabi|United Arab Emirates	Kish Island|Iran	242.56449788399783
Abu Dhabi|United Arab Emirates	Kochi|India	2798.2078283065343
Abu Dhabi|United Arab Emirates	Kuala Lumpur|Malaysia	5594.514955222827
Abu Dhabi|United Arab Emirates	Kuwait|Kuwait	851.33588645545
Abu Dhabi|United Arab Emirates	Lagos|Nigeria	5813.934615985499
Abu Dhabi|United Arab Emirates	Lahore|Pakistan	2091.9237423143
Abu Dhabi|United Arab Emirates	Larnaca|Cyprus	2335.4352026258157
Abu Dhabi|United Arab Emirates	London|United Kingdom	5522.725075383451
Abu Dhabi|United Arab Emirates	Madinah|Saudi Arabia	1513.3426371672217
Abu Dhabi|United Arab Emirates	Madras|India	2969.2024856575013
Abu Dhabi|United Arab Emirates	Mahe|Seychelles	3241.5182234226027
Abu Dhabi|United Arab Emirates	Male|Maldives	3028.018593539565
Abu Dhabi|United Arab Emirates	Manchester|United Kingdom	5684.515073003807
Abu Dhabi|United Arab Emirates	Mangalore|India	2481.8231451428683
Abu Dhabi|United Arab Emirates	Manila|Philippines	6991.881012138278
Abu Dhabi|United Arab Emirates	Melbourne|Australia	11664.452573730585
Abu Dhabi|United Arab Emirates	Milano|Italy	4718.8933781350415
Abu Dhabi|United Arab Emirates	Minsk 2|Belarus	3954.112007152553
Abu Dhabi|United Arab Emirates	Moscow|Russia	3710.8003543714167
Abu Dhabi|United Arab Emirates	Mukalla|Yemen	1219.909979688596
Abu Dhabi|United Arab Emirates	Mumbai|India	1973.0490533385619
Abu Dhabi|United Arab Emirates	Munich|Germany	4585.032844838029
Abu Dhabi|United Arab Emirates	Muscat|Oman	381.0706600416377
Abu Dhabi|United Arab Emirates	Nairobi|Kenya	3446.9444451809286
Abu Dhabi|United Arab Emirates	New York|United States	11043.518433843725
Abu Dhabi|United Arab Emirates	Paris|France	5257.626684935019
Abu Dhabi|United Arab Emirates	Peshawar|Pakistan	1949.467096373762
Abu Dhabi|United Arab Emirates	Phuket|Thailand	4979.668352395245
Abu Dhabi|United Arab Emirates	Rahim Yar Khan|Pakistan	1617.6090345265527
Abu Dhabi|United Arab Emirates	Riyadh|Saudi Arabia	806.2665224486078
Abu Dhabi|United Arab Emirates	Rome|Italy	4344.873835572659
Abu Dhabi|United Arab Emirates	Sanaa|Yemen	1477.0332330876272
Abu Dhabi|United Arab Emirates	Sao Paulo|Brazil	12134.281141040581
Abu Dhabi|United Arab Emirates	Sayun Intl|Yemen	1123.5974659317526
Abu Dhabi|United Arab Emirates	Seoul|South Korea	6844.831689848595
Abu Dhabi|United Arab Emirates	Shanghai|China	6557.106619533095
Abu Dhabi|United Arab Emirates	Sharjah|United Arab Emirates	132.6225769163748
Abu Dhabi|United Arab Emirates	Singapore|Singapore	5892.218125079754
Abu Dhabi|United Arab Emirates	Sir Bani Yas Island|United Arab Emirates	191.10823198201723
Abu Dhabi|United Arab Emirates	Sydney|Australia	12074.606409716776
Abu Dhabi|United Arab Emirates	Sylhet Osmani|Bangladesh	3752.260247464925
Abu Dhabi|United Arab Emirates	Tehran|Iran	1268.073192146378
Abu Dhabi|United Arab Emirates	Tokyo|Japan	8097.321027647217
Abu Dhabi|United Arab Emirates	Toronto|Canada	11134.550811623092
Abu Dhabi|United Arab Emirates	Trivandrum|India	2958.462800098892
Abu Dhabi|United Arab Emirates	Tselinograd|Kazakhstan	3291.686720687895
Abu Dhabi|United Arab Emirates	Washington|United States	11399.301971639137
Abu Simbel|Egypt	Aswan|Egypt	215.76132684362688
Abuja|Nigeria	Accra|Ghana	903.4148969634492
Abuja|Nigeria	Addis Ababa|Ethiopia	3466.2635688959967
Abuja|Nigeria	Benin|Nigeria	351.1899325039585
Abuja|Nigeria	Cairo|Egypt	3438.831010440028
Abuja|Nigeria	Calabar|Nigeria	464.3980978484491
Abuja|Nigeria	Cotonou|Benin	613.6901610424867
Abuja|Nigeria	Enugu|Nigeria	283.83241493547
Abuja|Nigeria	Frankfurt|Germany	4568.5602572318385
Abuja|Nigeria	Ibadan|Nigeria	405.5744532208385
Abuja|Nigeria	Ilorin|Nigeria	311.15583427608516
Abuja|Nigeria	Imo|Nigeria	398.53510822811785
Abuja|Nigeria	Kano|Nigeria	365.5587171847347
Abuja|Nigeria	Lagos|Nigeria	511.978285855342
Abuja|Nigeria	Lome|Togo	734.5142891858263
Abuja|Nigeria	London|United Kingdom	4779.462005727685
Abuja|Nigeria	Malabo|Equatorial Guinea	606.0474256539406
Abuja|Nigeria	N'djamena|Chad	918.7022118790002
Abuja|Nigeria	Niamey|Niger	745.319334831385
Abuja|Nigeria	Osubi|Nigeria	411.8357883645888
Abuja|Nigeria	Paris|France	4475.041472604118
Abuja|Nigeria	Port Hartcourt|Nigeria	445.64814328807086
Abuja|Nigeria	Sokoto|Nigeria	489.75356763296503
Abuja|Nigeria	Yola|Nigeria	568.5905739829018
Acapulco|Mexico	Houston|United States	1539.4531785027132
Acapulco|Mexico	Mexico City|Mexico	306.8424762751454
Acapulco|Mexico	Monterrey|Mexico	1004.9015601208675
Acapulco|Mexico	Tijuana|Mexico	2466.8972243163694
Acapulco|Mexico	Toluca|Mexico	287.8864002348195
Accra|Ghana	Addis Ababa|Ethiopia	4316.815023163879
Accra|Ghana	Amsterdam|Netherlands	5218.5922081966655
Accra|Ghana	Beirut|Lebanon	4834.825013791861
Accra|Ghana	Cairo|Egypt	4287.62967272582
Accra|Ghana	Casablanca|Morocco	3184.4875253090318
Accra|Ghana	Cotonou|Benin	294.5822557965731
Accra|Ghana	Dakar|Senegal	2151.137137914294
Accra|Ghana	Dubai|United Arab Emirates	6295.872554282268
Accra|Ghana	Frankfurt|Germany	5012.8451328262145
Accra|Ghana	Freetown|Sierra Leone	1477.4696489508497
Accra|Ghana	Istanbul|Turkey	4879.691006281612
Accra|Ghana	Johannesburg|South Africa	4678.767441986487
Accra|Ghana	Kumasi|Ghana	200.22106922912698
Accra|Ghana	Lagos|Nigeria	400.9514093177486
Accra|Ghana	Lisbon|Portugal	3802.211959845528
Accra|Ghana	Lome|Togo	169.29335939624966
Accra|Ghana	London|United Kingdom	5105.677537983883
Accra|Ghana	Madrid|Spain	3896.0706442701353
Accra|Ghana	Monrovia|Liberia	1175.158543086331
Accra|Ghana	Nairobi|Kenya	4195.1486308421745
Accra|Ghana	New York|United States	8230.525788375237
Accra|Ghana	Ouagadougou|Burkina Faso	765.5838372054974
Accra|Ghana	Rome|Italy	4212.6424507376705
Accra|Ghana	Sunyani|Ghana	308.8911665256846
Accra|Ghana	Takoradi|Ghana	194.94028669082934
Accra|Ghana	Tamale|Ghana	446.5838376015964
Accra|Ghana	Windhoek|Namibia	3669.362367706005
Adak Island|United States	Anchorage|United States	1915.3768427125729
Adana|Turkey	Ankara|Turkey	402.71584201418534
Adana|Turkey	Antalya|Turkey	398.6542755115058
Adana|Turkey	Erbil|Iraq	779.9965671401998
Adana|Turkey	Istanbul|Turkey	675.9805315322599
Adana|Turkey	Izmir|Turkey	730.5267298899557
Adana|Turkey	Jeddah|Saudi Arabia	1744.0051534103209
Adana|Turkey	Nicosia|Cyprus	259.14159629412006
Adana|Turkey	Trabzon|Turkey	592.9199384342814
Adana|Turkey	Van|Turkey	727.719136330682
Addis Ababa|Ethiopia	Arba Minch|Ethiopia	353.2577349672023
Addis Ababa|Ethiopia	Asosa|Ethiopia	476.82454744227846
